intent,category,question,answer
contact_human,General,Can I talk to a real person sasa?,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
contact_human,General,Nipe number ya kuongea na mtu,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
order_status,Orders,"Naomba kuuliza, Order yangu ipo stage gani sasa?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
delivery_time,Delivery,"Poa, Order itafika lini kwa Rongai tafadhali?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
order_status,Orders,Umeshtuma bidhaa zangu naomba msaada?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
courier_tracking_number,Delivery,"Karibu, mimi ni customer, Naomba tracking number ya order yangu tafadhali?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
delivery_cost,Delivery,Delivery fee ni how much basi?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
combine_orders,Orders,"Samahani, Can I combine two orders into one delivery?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
product_care_instructions,Products,Utunzaji wa hii bidhaa ni aje?,Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
courier_tracking_number,Delivery,How do I track my parcel with the courier?,We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
courier_tracking_number,Delivery,"Poa, Can you give me a tracking number?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
mpesa_payment,Payment,"Hi, What's your till number naomba kujua?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
wholesale_reseller,Products,"Hello, Nataka kununua mengi kwa bei nafuu niuze nisaidie?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
installment_payment,Payments,"Poa, Naomba nilipe kidogo kidogo basi?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
receipt_request,Payments,"Habari, Nataka invoice kwa order asante?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
discount_bulk,Promotions,"Niaje, Any ongoing sale?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
